basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250717,035720,KR7035720002,카카오,KOSPI,57500,1400,2.5,57500,59100,57000,3318001,191514032850,442013722,25415789015000
20250716,035720,KR7035720002,카카오,KOSPI,56100,-1100,-1.92,56900,57600,56000,1844953,104264641350,442013722,24796969804200
20250715,035720,KR7035720002,카카오,KOSPI,57200,-1100,-1.89,57400,58000,56300,2979693,169395188650,442013722,25283184898400
20250714,035720,KR7035720002,카카오,KOSPI,58300,-1700,-2.83,59500,59600,56500,3469359,200495860900,442013722,25769399992600
20250711,035720,KR7035720002,카카오,KOSPI,60000,-800,-1.32,62000,62000,59900,2465478,149632985000,442013722,26520823320000
20250710,035720,KR7035720002,카카오,KOSPI,60800,300,.5,61000,61800,59700,3149990,191370189600,441766501,26859403260800
20250709,035720,KR7035720002,카카오,KOSPI,60500,-300,-.49,60700,61000,59500,2152533,129386726050,441766501,26726873310500
20250708,035720,KR7035720002,카카오,KOSPI,60800,700,1.16,61400,61600,59900,2354516,142565731000,441766501,26859403260800
20250707,035720,KR7035720002,카카오,KOSPI,60100,1700,2.91,57600,61000,57500,3213170,192513410200,441766501,26550166710100
20250704,035720,KR7035720002,카카오,KOSPI,58400,-1100,-1.85,60000,60400,58300,2125150,125465129950,441766501,25799163658400
20250703,035720,KR7035720002,카카오,KOSPI,59500,800,1.36,59200,61400,58800,3330017,200068365700,441766501,26285106809500
20250702,035720,KR7035720002,카카오,KOSPI,58700,-1400,-2.33,61000,61300,58100,2974555,175776931500,441766501,25931693608700
20250701,035720,KR7035720002,카카오,KOSPI,60100,100,.17,59900,63400,59300,4862065,298254846800,441766501,26550166710100
20250630,035720,KR7035720002,카카오,KOSPI,60000,-900,-1.48,61200,62000,59500,4067265,245773500400,441766501,26505990060000
20250627,035720,KR7035720002,카카오,KOSPI,60900,-2200,-3.49,63000,63500,58900,7751588,470799856300,441766501,26903579910900
20250626,035720,KR7035720002,카카오,KOSPI,63100,-6300,-9.08,67500,67600,61100,12516562,796291966950,441766501,27875466213100
20250625,035720,KR7035720002,카카오,KOSPI,69400,-1000,-1.42,69400,70700,67200,6399440,442645746400,441766501,30658595169400
20250624,035720,KR7035720002,카카오,KOSPI,70400,2800,4.14,68100,71600,66000,12083420,839067648506,441766501,31100361670400
20250623,035720,KR7035720002,카카오,KOSPI,67600,1000,1.5,67000,68900,65600,12708128,854468399400,441766501,29863415467600
20250620,035720,KR7035720002,카카오,KOSPI,66600,6200,10.26,60100,67200,58600,16754279,1065026260200,441766501,29421648966600
20250619,035720,KR7035720002,카카오,KOSPI,60400,5200,9.42,57300,61800,56800,14753547,884392927150,441766501,26682696660400
20250618,035720,KR7035720002,카카오,KOSPI,55200,3400,6.56,51600,55400,51600,8380598,455048505200,441766501,24385510855200
20250617,035720,KR7035720002,카카오,KOSPI,51800,-1400,-2.63,53800,54000,51200,3981660,209448704050,441766501,22883504751800
20250616,035720,KR7035720002,카카오,KOSPI,53200,1700,3.3,51300,53300,50800,4949701,258567657550,441766501,23501977853200
20250613,035720,KR7035720002,카카오,KOSPI,51500,1000,1.98,53700,53700,50700,5408390,279740859300,441766501,22750974801500
20250612,035720,KR7035720002,카카오,KOSPI,50500,-900,-1.75,50800,51800,50300,4071665,206684571850,441711295,22306420397500
20250611,035720,KR7035720002,카카오,KOSPI,51400,1400,2.8,49100,52000,49100,5300436,270296014300,441711295,22703960563000
20250610,035720,KR7035720002,카카오,KOSPI,50000,-1400,-2.72,53300,53300,49000,8896042,448893680075,441711295,22085564750000
20250609,035720,KR7035720002,카카오,KOSPI,51400,7100,16.03,45950,51500,45700,12784767,631003271975,441711295,22703960563000
20250605,035720,KR7035720002,카카오,KOSPI,44300,2700,6.49,42000,44900,41850,5070135,222214034150,441711295,19567810368500
20250604,035720,KR7035720002,카카오,KOSPI,41600,-1550,-3.59,44100,44450,41050,3838475,161418455225,441711295,18375189872000
20250602,035720,KR7035720002,카카오,KOSPI,43150,450,1.05,43200,43700,42400,2075682,89171105800,441711295,19059842379250
20250530,035720,KR7035720002,카카오,KOSPI,42700,-1300,-2.95,43650,43850,42650,3539065,152005621325,441711295,18861072296500
20250529,035720,KR7035720002,카카오,KOSPI,44000,2300,5.52,41550,44250,41550,4644875,200871080875,441711295,19435296980000
20250528,035720,KR7035720002,카카오,KOSPI,41700,750,1.83,40950,42200,40250,2787745,115863799700,441711295,18419361001500
20250527,035720,KR7035720002,카카오,KOSPI,40950,1950,5,38700,41000,38550,3448700,138500653375,441711295,18088077530250
20250526,035720,KR7035720002,카카오,KOSPI,39000,1600,4.28,37400,39000,37100,2676578,102373009875,441711295,17226740505000
20250523,035720,KR7035720002,카카오,KOSPI,37400,150,.4,37250,37650,37000,1081143,40360877900,441711295,16520002433000
